text,intent
Please help me with my card.  It won't activate.,activate_my_card
I tired but an unable to activate my card.,activate_my_card
I want to start using my card.,activate_my_card
How do I verify my new card?,activate_my_card
I tried activating my plug-in and it didn't piece of work,activate_my_card
How do i activate my card,activate_my_card
Can someone assist me with activating my card?,activate_my_card
My card needs to be activated.,activate_my_card
I was unable to activate my card.,activate_my_card
Is my card ready for use or does it need activated and if so how?,activate_my_card
Help me activate my new card.,activate_my_card
Do I need a photo ID to activate a my new card?,activate_my_card
"I just got my new card, how do I activate it?",activate_my_card
Can I have my card activated?,activate_my_card
i cant seem to activate card,activate_my_card
It won't let me activate my card.,activate_my_card
I tried activation my card and it didn't employment,activate_my_card
I want to use my card. How do I activate it?,activate_my_card
Activate my card,activate_my_card
Can I get some help activating my new card?,activate_my_card
Is my card activated?,activate_my_card
I would like to activate my card.,activate_my_card
Can I call to get my card activated?,activate_my_card
How can I activate my new card? I didn't recieve any information with it about how to do so.,activate_my_card
How do I activate my new card I just got?,activate_my_card
will you be able to activate my card,activate_my_card
Can I get some help to get me card activated?,activate_my_card
I want to activate my new card.,activate_my_card
What would II do if I wanted to activate my new card,activate_my_card
What needs to be done to activate and use a card?,activate_my_card
Can I activate my card?,activate_my_card
I need assistance activating my card?,activate_my_card
I need assistance with activating my new card.,activate_my_card
How do I get my card active?,activate_my_card
What do I have to do to activate my card?,activate_my_card
What is needed to activate my card?,activate_my_card
How can my new card be activated?,activate_my_card
Can you activate my card pls,activate_my_card
How do I turn on my new card?,activate_my_card
Please assist me in activating the card.,activate_my_card
Would you be so kind as to activate my card? Thanks,activate_my_card
I tried activating my card and it doesn't work how do I solve this problem?,activate_my_card
Can I activate my card with the app?,activate_my_card
"I want to start using my card, how do I activate it?",activate_my_card
What is the process to activate a card,activate_my_card
"Hi, would you please activate my card?",activate_my_card
What do I need for activation of my card?,activate_my_card
"How do I activate my card, so that I can start using it?",activate_my_card
I need my card activated.,activate_my_card
I would like to be assisted with the activation of my card.,activate_my_card
I just received my card and I'd like to activate it.,activate_my_card
can you assist me in activating my card?,activate_my_card
How do I activate my card to start using it?,activate_my_card
Instructions for activating card,activate_my_card
What do I need to do for the card activation?,activate_my_card
"I am unable to activate my card, it won't let me.",activate_my_card
When are you going to activate my card?,activate_my_card
I need to activate my card.,activate_my_card
How can I activate my new card?,activate_my_card
What do I do to activate?,activate_my_card
What steps do I have to take to activate my card?,activate_my_card
"My new card just arrived, how can I activate it?",activate_my_card
I am having trouble activating my card.,activate_my_card
My card is not able to be activated how do I get it to work?,activate_my_card
I'm not able to activate my card how do I fix this problem?,activate_my_card
I cannot activate my card.,activate_my_card
How can I activate the new card i got?,activate_my_card
how long should i wait ti activate my card,activate_my_card
How do I activate a card?,activate_my_card
What is the procedure for activating this card?,activate_my_card
My card needs to be activated asap,activate_my_card
What is the most efficient way to activate my new card?,activate_my_card
I couldn't complete card activation.,activate_my_card
Who do I call to activate my new card?,activate_my_card
"You can activate your card in a few seconds by going to account, hitting activate, and just following the directions.",activate_my_card
Tell me what I need to do to activate my card.,activate_my_card
What is the process for activating a new card.,activate_my_card
My card activation is failing.,activate_my_card
"I need to activate my card, how is that done?",activate_my_card
I would like to activate my card what do I need to do?,activate_my_card
I have my card now how do I activate it?,activate_my_card
How long does it take to activate my card?,activate_my_card
How do I activate my card so I can start using it?,activate_my_card
Explain the activation method for this card,activate_my_card
Can someone assist me with activating my new card?,activate_my_card
What is the process for activating my new card?,activate_my_card
I would like to have assistance with activating my card.,activate_my_card
Tell me how to renew my new card?,activate_my_card
My new card came in.  How do I activate?,activate_my_card
How do I active this card?,activate_my_card
what are the steps to activate my card?,activate_my_card
I have a new card and need to activate it,activate_my_card
I would like to get help from someone in your customer service department with assisting me with activating my card.,activate_my_card
What are the steps that I need to take to activate a new card?,activate_my_card
I tried activating my card and it didn't work,activate_my_card
I need my card to be activated right now.,activate_my_card
What information do I need to gather in order to activate my card?,activate_my_card
what do i need to have with me to activate card,activate_my_card
What am I going to need in order to activate my card?,activate_my_card
Show me how to activate my card,activate_my_card
I need more assistance with how to activate my card.,activate_my_card
Can you tell me how I go about activating a new card?,activate_my_card
My new card needs activating.,activate_my_card
Where do I activate my card?,activate_my_card
Do you know the process how to activate my card?,activate_my_card
How can i make my card active?,activate_my_card
Please help me with the activation of the new card.,activate_my_card
Can you help me activate my card,activate_my_card
My card activation attempt failed.,activate_my_card
"I just got a new card, and I want to know how to activate.",activate_my_card
Would it be possible to activate my card?,activate_my_card
Card activation steps,activate_my_card
What is the process for activating my card and using it?,activate_my_card
I have a new card and I need to activate it.,activate_my_card
Do I have to go somewhere to activate my card?,activate_my_card
What do I do to activate my new card?,activate_my_card
I just got a new card how do I get it to start working?,activate_my_card
I need assistance to activate the card on my account.,activate_my_card
I can't activate my card?,activate_my_card
"My new card is here, what's the process for activating it?",activate_my_card
Where can I activate my card?,activate_my_card
How can I switch on my new card?,activate_my_card
"With my new card, how may I activate it?",activate_my_card
Help me activate my card.,activate_my_card
"How long does it take to activate the card, as it does not look like its working?",activate_my_card
"You can do that in just a few seconds. Go to account, hit activate, and follow the directions from there.",activate_my_card
Card activation is not working. What do i do?,activate_my_card
What identification is required to activate my card?,activate_my_card
I need to do a card activation.,activate_my_card
"I want to activate my card, how do I do it?",activate_my_card
I want to activate the card.,activate_my_card
I am planning activating my card was it possible?,activate_my_card
The activation process for my card isn't working.,activate_my_card
Could you please tell me how to activate my new card?,activate_my_card
I need to actuate my card.,activate_my_card
I need info on activating my card?,activate_my_card
