text,intent
Do the disposable cards have any restrictions on them?,disposable_card_limits
How many times can I use a virtual card?,disposable_card_limits
A friend was telling me about her disposable cards. What would I have to do to be able to get that feature?,disposable_card_limits
Can I have more disposable cards?,disposable_card_limits
"i tried using a virtual card for a hotel but it didn't work, why not",disposable_card_limits
What are the guidelines for the disposable cards?,disposable_card_limits
Do the disposable cards have a transaction limit?,disposable_card_limits
Can you give me the restrictions of the disposable cards?,disposable_card_limits
Is there a limit on the number of times I can use a disposable card?,disposable_card_limits
How many disposable cards am I allowed to have?,disposable_card_limits
What are the restrictions of the disposable cards?,disposable_card_limits
What is the most amount of disposable cards allowable?,disposable_card_limits
Can I get a disposable card?  How many can I have?  How often can I use them?,disposable_card_limits
What number of transactions can i do with one disposable card?,disposable_card_limits
Whats the maximum disposable virtual cards?,disposable_card_limits
How limited is a virtual card?,disposable_card_limits
What are the disposable cards restrictions?,disposable_card_limits
"I need multiple cards per day, and they all have to be disposable.",disposable_card_limits
Is there a limit to the number of disposable cards I can have?,disposable_card_limits
Can I have more than 2 disposable cards?,disposable_card_limits
What sort of restrictions are there for the disposable cards?,disposable_card_limits
What is the limit on disposable cards?,disposable_card_limits
Help me create several temp cards every day.,disposable_card_limits
Are there any limits to using disposable virtual cards?,disposable_card_limits
Are there a certain amount of transactions i can do with one disposable card?,disposable_card_limits
What are the limitations on the disposable cards?,disposable_card_limits
"I have a disposable card, how many transactions can I make?",disposable_card_limits
What are the policies of disposable cards?,disposable_card_limits
Is there a limit on how many times I can use a disposable card?,disposable_card_limits
I need to make several disposable cards per day.,disposable_card_limits
What is the number of transactions I get with a disposable card?,disposable_card_limits
How many disposable virtual cards can you have?,disposable_card_limits
Can you tell me the restrictions for the disposable cards?,disposable_card_limits
How can many disposable cards can I have per day?,disposable_card_limits
Could you tell me about the restrictions that are on the disposable cards?,disposable_card_limits
Do the disposable cards have any restrictions?,disposable_card_limits
I need several cards per day. And I need to be able to throw away all of the cards I make.,disposable_card_limits
How many times can I use my disposable card?,disposable_card_limits
With one disposable card how many transactions can i do?,disposable_card_limits
Is there any limits I should know about if I'm going to use a disposable virtual card?,disposable_card_limits
I need a number of disposable cards everyday.,disposable_card_limits
Are there restrictions on disposable virtual cards?,disposable_card_limits
Please provide me with the restrictions of the disposable cards.,disposable_card_limits
I have to make several disposable cards per day.,disposable_card_limits
Am I limited on the amount of disposable cards I can possess?,disposable_card_limits
how many uses are the disposable cards good for?,disposable_card_limits
Whats the maximum number of disposable cards that I can get?,disposable_card_limits
What are some of the restrictions that the disposable cards have?,disposable_card_limits
What are the restrictions on the virtual cards?,disposable_card_limits
How many purchases can I make with one disposable card?,disposable_card_limits
Is it possible to have more than one disposable card?,disposable_card_limits
Can i make several disposable cardsper day?,disposable_card_limits
What is limit of disposable cards  I can make per day?,disposable_card_limits
What are the details of disposable card limitations?,disposable_card_limits
I need to make multiple disposable cards in a day.,disposable_card_limits
How many transactions can I do with my disposable card?,disposable_card_limits
Show me the amount of transactions I can do with a disposable card.,disposable_card_limits
What is the maximum transactions I can use on a disposable card?,disposable_card_limits
Are there any limits if I use these virtual cards?,disposable_card_limits
Are there any restrictions for the disposable cards that I need to be aware of?,disposable_card_limits
Where can I find a list of descriptions the disposable cards have?,disposable_card_limits
What limits are there on the virtual cards?,disposable_card_limits
What is the max amount of disposable cards I'm allowed.,disposable_card_limits
What stipulations do disposable cards entail?,disposable_card_limits
How many disposable cards per person?,disposable_card_limits
Is there a limit to a disposable virtual card?,disposable_card_limits
Why can't I use a disposable card?,disposable_card_limits
How many transactions can I make on my disposable card?,disposable_card_limits
What's the limit for disposable virtual cards?,disposable_card_limits
How many active transactions can I make with a disposable card?,disposable_card_limits
Please specify any limitations that come along with disposable cards.,disposable_card_limits
Are there downsides to using a disposable virtual cards?,disposable_card_limits
how many transactions can go on a disposable card?,disposable_card_limits
Is there a transaction limit for a disposable card?,disposable_card_limits
I need more than one disposable card,disposable_card_limits
What is the maximum number of transactions that I can put on a disposable card?,disposable_card_limits
I am required to make several disposable cards every day.,disposable_card_limits
I must make several disposable cards every day.,disposable_card_limits
Where can I use a disposable card?,disposable_card_limits
Are there limits on the virtual cards?,disposable_card_limits
How many disposable cards can you own?,disposable_card_limits
Can you tell me more about limits to disposable virtual cards?,disposable_card_limits
How many transactions can I do with a disposable card?,disposable_card_limits
How many payments can I make using a virtual card?,disposable_card_limits
What is the maximum number of transactions I can do with a disposable card?,disposable_card_limits
Can you tell me if there are limits to disposable virtual cards?,disposable_card_limits
What are the rules for using disposable virtual cards?,disposable_card_limits
What are the disposable virtual card limits?,disposable_card_limits
How many disposable cards can I have at one time?,disposable_card_limits
How many transactions can be made with a disposable card?,disposable_card_limits
"i am not a premium customer but i want a virtual card, how do i get it",disposable_card_limits
I need several disposable cards made per day.,disposable_card_limits
What is the maximum transactions for one disposable card?,disposable_card_limits
"For the disposable cards, what are the restrictions?",disposable_card_limits
Are there any restrictions for the disposable cards?,disposable_card_limits
Is there a limit on making disposable cards?,disposable_card_limits
Do the disposable cards have restrictions?,disposable_card_limits
Can I do more than 10 transactions with a disposable card?,disposable_card_limits
What are the disposable card limits?,disposable_card_limits
Is there a limit to using a disposable virtual card?,disposable_card_limits
I have a disposable virtual card. Is there a limit to how many times I can use it?,disposable_card_limits
Are there any places that I can't use the disposable cards at?,disposable_card_limits
Is there a limit to the number of disposable cards per day?,disposable_card_limits
How many disposable cards can I make in a day?,disposable_card_limits
let me know how many disposable cards I can have?,disposable_card_limits
I must make several disposable cards per day.,disposable_card_limits
Can you please inform me of the restrictions for the disposable cards.,disposable_card_limits
Is there a limit on disposable cards?,disposable_card_limits
I have to make more then a few disposable cards per day.,disposable_card_limits
Are there any restrictions on the disposable cards?,disposable_card_limits
What are my limits on disposable cards?,disposable_card_limits
I would like to know what the restrictions are for the disposable cards.,disposable_card_limits
What is the limits on the number of disposable cards I can have?,disposable_card_limits
what is the amount of disposable cards I can have?,disposable_card_limits
"On my disposable card, is there a transaction limit?",disposable_card_limits
Who can request disposable cards?,disposable_card_limits
How much transactions do I get with a disposable card?,disposable_card_limits
What can I and can't do with the disposable cards?,disposable_card_limits
Is there a transaction limit on a disposable card?,disposable_card_limits
How many disposable  cards are available per account?,disposable_card_limits
What is the number of transactions for one disposable card?,disposable_card_limits
What do you use disposable cards on?,get_disposable_virtual_card
How do I get a disposable virtual card as well?,get_disposable_virtual_card
"I want a disposable virtual card, how do I do that?",get_disposable_virtual_card
What are the disposable cards for?,get_disposable_virtual_card
I need a disposable virtual card. Please tell me how to order one.,get_disposable_virtual_card
What systems do you have in place for my security when using my card for everyday purchases?,get_disposable_virtual_card
Why use a disposable card?,get_disposable_virtual_card
How can I get disposable virtual cards?,get_disposable_virtual_card
Can you tell me about these disposable virtual cards?,get_disposable_virtual_card
Do you offer disposable virtual cards too?,get_disposable_virtual_card
can i get a virtual card online,get_disposable_virtual_card
How do I request a disposable virtual card?,get_disposable_virtual_card
How can I create a disposable virtual card?,get_disposable_virtual_card
When will you be taking orders for disposable virtual cards?,get_disposable_virtual_card
Who can purchase a disposable virtual card?,get_disposable_virtual_card
How does a disposable virtual card work?,get_disposable_virtual_card
What is the function of the disposable cards?,get_disposable_virtual_card
Do I need a disposable card?,get_disposable_virtual_card
