text,intent
"Hi, I have an apple watch. How do I use it to top up my card?",apple_pay_or_google_pay
Can I use google pay to top up?,apple_pay_or_google_pay
why top up is not working even if I got my American Express in Apple Bay?,apple_pay_or_google_pay
Can I deposit money using Apple Pay?,apple_pay_or_google_pay
Can I use google pay for topping -up,apple_pay_or_google_pay
I do I top up from my Apple Watch?,apple_pay_or_google_pay
"I need to top up, can I use google pay?",apple_pay_or_google_pay
How do I go about topping up with Google Pay?,apple_pay_or_google_pay
google pay top up did not work,apple_pay_or_google_pay
Google play top up help?,apple_pay_or_google_pay
What currencies does google pay top up accept?,apple_pay_or_google_pay
Can I use my American Express card with Apple Pay?,apple_pay_or_google_pay
Why can't I get my top up to work in Apple Pay?,apple_pay_or_google_pay
Can I use my apple watch to top-up?,apple_pay_or_google_pay
Is top-up possible with Apple Pay?,apple_pay_or_google_pay
Why isn't my google top-up pay working?,apple_pay_or_google_pay
What do I do if my Google pay top up isn't working?,apple_pay_or_google_pay
Can I top up with Google Pay?,apple_pay_or_google_pay
Am I able to use Apple Pay?,apple_pay_or_google_pay
"I got my American Express in Apple Pay, why is top up not working in my country?",apple_pay_or_google_pay
Can I add funds directly from my Apple Watch?,apple_pay_or_google_pay
"Apple watch top up help, please?",apple_pay_or_google_pay
"I am having a slight problem with my American express in apple play, can you help me fix the problem with top up?",apple_pay_or_google_pay
"In regards to top-ups, can I do them via Google Pay?",apple_pay_or_google_pay
How do you Top Up on the apple watch?,apple_pay_or_google_pay
Am I able to top up with Apple Pay?,apple_pay_or_google_pay
Can I use top-up with Apple pay?,apple_pay_or_google_pay
"I want to top up from my Apple Watch, can I?",apple_pay_or_google_pay
Can I use the apple watch to make a top-up?,apple_pay_or_google_pay
"My American express works with my apple pay, why is top up not working?",apple_pay_or_google_pay
I would like to know if I can top up with Google Pay.,apple_pay_or_google_pay
Can I top-up via Apple Pay?,apple_pay_or_google_pay
Can I top up using my apple watch?,apple_pay_or_google_pay
Why is top up not working for my apple pay app,apple_pay_or_google_pay
Can I use Apple Pay to top-up?,apple_pay_or_google_pay
Why doesn't my Google pay top up work?,apple_pay_or_google_pay
How can I set up Google Pay on my device?,apple_pay_or_google_pay
Can you show me how to top up with Google play?,apple_pay_or_google_pay
I seem to be having trouble with my Google Pay Top. Can you please help?,apple_pay_or_google_pay
Does Google Pay offer a top up option?,apple_pay_or_google_pay
"I got my American Express in Apple Pay, why is top up not working on my device?",apple_pay_or_google_pay
How do I get Top Up to work in Apple Pay?,apple_pay_or_google_pay
is apple pay a top up service?,apple_pay_or_google_pay
How do I top up using my Apple Watch?,apple_pay_or_google_pay
I want to top up my account. Can I do it with Google Pay?,apple_pay_or_google_pay
Can I use my apple watch to top up?,apple_pay_or_google_pay
"I received my American Express in Apple Pay, is there a reason why top up is not functioning properly?",apple_pay_or_google_pay
Can I use my Apple Watch to pay for gas?,apple_pay_or_google_pay
I would like to use top-up with my Apple Pay.,apple_pay_or_google_pay
how do I get top up to work for my card,apple_pay_or_google_pay
My google top-up pay is not going through,apple_pay_or_google_pay
how do i set up my apple pay watch to connect to my account,apple_pay_or_google_pay
need help with google pay top up,apple_pay_or_google_pay
My Google pay top up isn't working.,apple_pay_or_google_pay
"Help me please, My Apple Pay American Express top up does not work.",apple_pay_or_google_pay
Are top-ups allowed using Apple Pay?,apple_pay_or_google_pay
Is topping up with Apple Pay possible?,apple_pay_or_google_pay
what can I do if I got my American Express in Apple Bay but top up is not working?,apple_pay_or_google_pay
Top up is not working even though I have my AMEX in apple pay.,apple_pay_or_google_pay
where do I top up my google pay?,apple_pay_or_google_pay
"Using Google Pay, can I top up?",apple_pay_or_google_pay
Why is top up not working if I use my American express with my apple pay?,apple_pay_or_google_pay
Unable to use my American Express with Apple Pay to top up my account,apple_pay_or_google_pay
Does my top up and apple pay work together?,apple_pay_or_google_pay
I can't use top up on Google Pay.,apple_pay_or_google_pay
"I have received my American express in apple play, looks like top up has an issue, please help?",apple_pay_or_google_pay
Why isn't my google pay top up working?,apple_pay_or_google_pay
Is it possible for me to top up with Google Pay?,apple_pay_or_google_pay
Can apple pay handle top up exchanges?,apple_pay_or_google_pay
Am I able to Top Up with Apply Pay?,apple_pay_or_google_pay
How do i top up my google pay?,apple_pay_or_google_pay
I want to top up with my Apple Watch.,apple_pay_or_google_pay
Could google pay and top up be together?,apple_pay_or_google_pay
I can't get google pay to work right.,apple_pay_or_google_pay
Does google play offer the service to Top up?,apple_pay_or_google_pay
Can I top-up my google pay?,apple_pay_or_google_pay
Can I use American express with apple pay? Why does it make my top up not work?,apple_pay_or_google_pay
